task_id,method,budget,run_id,provider_call_count,final_output_construction,state_budget,model,required_token_recall,required_token_missing_count,missing_required_tokens,forbidden_token_leakage,forbidden_token_hits,protected_token_leakage,protected_token_hits,revoked_token_leakage,revoked_token_hits,stale_token_leakage,stale_token_hits,blocked_path_leakage,blocked_path_hits,boundary_violation,state_label_accuracy,state_transition_accuracy,final_exact_success,reliable_success,state_required_token_present,state_required_token_negated,state_internal_conflict,output_bearing_state_conflict,exclusion_field_conflict,answer_success,state_governance_success,reliable_composite_success,state_forbidden_token_present,state_forbidden_token_negated,mechanical_carry_failure_mode_detected
pcgds_v2_00001_api_migration_state_transition_easy,loop_only,600,1,4,provider_final_call,600,deepseek-v4-pro,0.0,2,"['API_01_10BBFA', 'API_01_C1FFF0']",True,['API_01_FD3DD7'],False,[],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,False,False,False,False,True,False,True,True,True
pcgds_v2_00001_api_migration_state_transition_easy,loop_only,1200,1,4,provider_final_call,1200,deepseek-v4-pro,0.0,2,"['API_01_10BBFA', 'API_01_C1FFF0']",True,['API_01_FD3DD7'],False,[],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,False,False,False,False,True,False,True,True,True
pcgds_v2_00001_api_migration_state_transition_easy,mature_ssr_loop,600,1,3,deterministic_mature_ssr_slot_compiler,600,deepseek-v4-pro,0.0,2,"['API_01_10BBFA', 'API_01_C1FFF0']",False,[],False,[],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,True,True
pcgds_v2_00001_api_migration_state_transition_easy,mature_ssr_loop,1200,1,3,deterministic_mature_ssr_slot_compiler,1200,deepseek-v4-pro,0.0,2,"['API_01_10BBFA', 'API_01_C1FFF0']",True,['API_01_FD3DD7'],False,[],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,True,True,False,False,False,False,True,True,True
pcgds_v2_00001_api_migration_state_transition_easy,rolling_summary,600,1,4,provider_final_call,600,deepseek-v4-pro,1.0,0,[],False,[],False,[],False,[],False,[],True,['src/api/unit_01_e43288.py'],True,0.833333,0.0,False,False,True,True,True,False,False,False,False,False,True,True,True
pcgds_v2_00001_api_migration_state_transition_easy,rolling_summary,1200,1,4,provider_final_call,1200,deepseek-v4-pro,1.0,0,[],False,[],False,[],False,[],False,[],False,[],False,0.666667,0.0,True,True,True,False,False,False,False,True,True,True,True,True,False
pcgds_v2_00001_api_migration_state_transition_easy,rolling_visible_carry_forward,600,1,4,provider_final_call,600,deepseek-v4-pro,1.0,0,[],False,[],False,[],False,[],False,[],False,[],False,0.666667,0.0,True,True,True,False,False,False,False,True,True,True,True,True,False
pcgds_v2_00001_api_migration_state_transition_easy,rolling_visible_carry_forward,1200,1,4,provider_final_call,1200,deepseek-v4-pro,1.0,0,[],False,[],False,[],False,[],False,[],False,[],False,0.666667,0.0,True,True,True,False,False,False,False,True,True,True,True,True,False
pcgds_v2_00002_api_migration_state_transition_easy,loop_only,600,1,4,provider_final_call,600,deepseek-v4-pro,0.0,3,"['API_02_331C5D', 'API_02_486764', 'API_02_E90D41']",True,['API_02_314918'],False,[],False,[],True,['API_02_C8575F'],False,[],False,0.0,0.0,False,False,False,False,False,False,False,False,True,False,True,True,True
pcgds_v2_00002_api_migration_state_transition_easy,loop_only,1200,1,4,provider_final_call,1200,deepseek-v4-pro,0.0,3,"['API_02_331C5D', 'API_02_486764', 'API_02_E90D41']",True,['API_02_314918'],False,[],False,[],True,['API_02_C8575F'],False,[],False,0.0,0.0,False,False,False,False,False,False,False,False,True,False,True,True,True
