task_id,method,budget,run_id,provider_call_count,final_output_construction,state_budget,model,required_token_recall,required_token_missing_count,missing_required_tokens,forbidden_token_leakage,forbidden_token_hits,protected_token_leakage,protected_token_hits,revoked_token_leakage,revoked_token_hits,stale_token_leakage,stale_token_hits,blocked_path_leakage,blocked_path_hits,boundary_violation,state_label_accuracy,state_transition_accuracy,final_exact_success,reliable_success,state_required_token_present,state_required_token_negated,state_internal_conflict,output_bearing_state_conflict,exclusion_field_conflict,answer_success,state_governance_success,reliable_composite_success,state_forbidden_token_present,state_forbidden_token_negated,mechanical_carry_failure_mode_detected,state_governance_success_legacy_no_conflict_only,state_carry_surface_present
pcgds_v2_00004_api_migration_state_transition_medium,loop_only,300,1,6,provider_final_call,300,kimi-k2.6,0.0,3,"['API_04_84F137', 'API_04_B5CD0B', 'API_04_C25C8D']",False,[],False,[],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False
pcgds_v2_00004_api_migration_state_transition_medium,loop_only,600,1,6,provider_final_call,600,kimi-k2.6,0.0,3,"['API_04_84F137', 'API_04_B5CD0B', 'API_04_C25C8D']",False,[],False,[],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False
pcgds_v2_00004_api_migration_state_transition_medium,loop_only,1200,1,6,provider_final_call,1200,kimi-k2.6,0.0,3,"['API_04_84F137', 'API_04_B5CD0B', 'API_04_C25C8D']",True,['API_04_41E404'],True,['API_04_A60386'],False,[],False,[],False,[],False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
pcgds_v2_00004_api_migration_state_transition_medium,mature_ssr_loop,300,1,5,deterministic_mature_ssr_slot_compiler,300,kimi-k2.6,1.0,0,[],False,[],False,[],True,['API_04_31BF6C'],True,['API_04_02F94A'],False,[],False,0.0,0.0,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True
pcgds_v2_00004_api_migration_state_transition_medium,mature_ssr_loop,600,1,5,deterministic_mature_ssr_slot_compiler,600,kimi-k2.6,1.0,0,[],True,['API_04_41E404'],True,['API_04_A60386'],True,['API_04_31BF6C'],True,['API_04_02F94A'],False,[],False,0.0,0.0,False,False,True,True,True,True,False,False,False,False,True,True,True,False,True
pcgds_v2_00004_api_migration_state_transition_medium,mature_ssr_loop,1200,1,5,deterministic_mature_ssr_slot_compiler,1200,kimi-k2.6,1.0,0,[],True,['API_04_41E404'],True,['API_04_A60386'],True,['API_04_31BF6C'],True,['API_04_02F94A'],False,[],False,0.0,0.0,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True
pcgds_v2_00004_api_migration_state_transition_medium,rolling_summary,300,1,6,provider_final_call,300,kimi-k2.6,0.666667,1,['API_04_C25C8D'],False,[],False,[],False,[],False,[],False,[],False,0.25,0.0,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True
pcgds_v2_00004_api_migration_state_transition_medium,rolling_summary,600,1,6,provider_final_call,600,kimi-k2.6,1.0,0,[],False,[],False,[],False,[],False,[],True,['src/api/unit_04_68ea21.py'],True,0.5,0.0,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True
pcgds_v2_00004_api_migration_state_transition_medium,rolling_summary,1200,1,6,provider_final_call,1200,kimi-k2.6,0.666667,1,['API_04_C25C8D'],False,[],False,[],False,[],False,[],True,['src/api/unit_04_68ea21.py'],True,0.5,0.0,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True
pcgds_v2_00004_api_migration_state_transition_medium,rolling_visible_carry_forward,300,1,6,provider_final_call,300,kimi-k2.6,1.0,0,[],False,[],False,[],False,[],False,[],False,[],False,0.333333,0.0,True,False,True,False,True,True,False,True,False,False,True,True,True,False,True
